f_p,i_n,region,near_boundary,regionstr
0.7,0.05,1,TRUE,a
0.7,0.12,2,TRUE,b
0.7,0.2,2,FALSE,b
0.7,0.3,2,FALSE,b
0.7,0.4,2,FALSE,b
0.7,0.5,2,FALSE,b
0.7,0.6,2,FALSE,b
0.7,0.8,2,FALSE,b
0.7,1,2,FALSE,b
0.7,1.2,2,FALSE,b
0.7,1.4,2,FALSE,b
0.7,1.6,2,FALSE,b
0.7,1.8,2,FALSE,b
0.7,2,2,FALSE,b
0.7,2.2,2,FALSE,b
0.7,2.4,2,FALSE,b
0.725,0.05,1,TRUE,a
0.725,0.13,2,TRUE,b
0.725,0.2,2,FALSE,b
0.725,0.3,2,FALSE,b
0.725,0.4,2,FALSE,b
0.725,0.5,2,FALSE,b
0.725,0.6,2,FALSE,b
0.725,0.8,2,FALSE,b
0.725,1,2,FALSE,b
0.725,1.2,2,FALSE,b
0.725,1.4,2,FALSE,b
0.725,1.6,2,FALSE,b
0.725,1.8,2,FALSE,b
0.725,2,2,FALSE,b
0.725,2.2,2,FALSE,b
0.725,2.4,2,FALSE,b
0.75,0.05,1,FALSE,a
0.75,0.1,1,TRUE,a
0.75,0.15,2,TRUE,b
0.75,0.2,2,FALSE,b
0.75,0.3,2,FALSE,b
0.75,0.5,2,FALSE,b
0.75,0.4,2,FALSE,b
0.75,0.6,2,FALSE,b
0.75,0.8,2,FALSE,b
0.75,1,2,FALSE,b
0.75,1.2,2,FALSE,b
0.75,1.4,2,FALSE,b
0.75,1.6,2,FALSE,b
0.75,1.8,2,FALSE,b
0.75,2,2,FALSE,b
0.75,2.2,2,FALSE,b
0.75,2.4,2,FALSE,b
0.775,0.05,1,FALSE,a
0.775,0.1,1,TRUE,a
0.775,0.15,2,TRUE,b
0.775,0.2,2,FALSE,b
0.775,0.3,2,FALSE,b
0.775,0.4,2,FALSE,b
0.775,0.5,2,FALSE,b
0.775,0.6,2,FALSE,b
0.775,0.8,2,FALSE,b
0.775,1,2,FALSE,b
0.775,1.2,2,FALSE,b
0.775,1.4,2,FALSE,b
0.775,1.6,2,FALSE,b
0.775,1.8,2,FALSE,b
0.775,2,2,FALSE,b
0.775,2.2,2,FALSE,b
0.775,2.4,2,FALSE,b
0.8,0.05,1,FALSE,a
0.8,0.1,1,TRUE,a
0.8,0.2,2,TRUE,b
0.8,0.3,2,FALSE,b
0.8,0.4,2,FALSE,b
0.8,0.5,2,FALSE,b
0.8,0.6,2,FALSE,b
0.8,0.8,2,FALSE,b
0.8,1,2,FALSE,b
0.8,1.2,2,FALSE,b
0.8,1.4,2,FALSE,b
0.8,1.6,2,FALSE,b
0.8,1.8,2,FALSE,b
0.8,2,2,FALSE,b
0.8,2.2,2,FALSE,b
0.8,2.4,2,FALSE,b
0.825,0.05,1,FALSE,a
